pos,neg,komment,result
"Наклеена защитная пленка,чехол из коробки ,довольно емкая батарея, отдельный слот для карты памяти и двух симок . Качество съемки и быстродействие можно сказать отличное. Соотношение цена-качество",Предустановленные приложения производителя которые и не нужны но и удалить их нельзя,"Полностью соответствует моим потребностям!Особенно порадовала батарея ,подзаряжать в течении дня не пришлось не смотря на то пользовался навигатором 6-7 часов и постоянно был включен мобильный интернет. Посмотрим на сколько она деградирует за год",Отличный
"1. Хороший дизайн2. Камера довольно высокого уровня и есть несколько дополнительных функций для съёмки видео (замедление и ускорение).3. Вариант с 6 гигами оперативы делает его довольно шустрым смартфоном.4. Фронтальная камера внутри экрана, а не монобровью.5. Яркий экран.6. В комплекте есть силиконовый чехол и плёнка уже наклеена на экран","Экран поддерживает только частоту в 60 Гц, в отличии от версии Pro.Иногда снимки получаются размазанными. Фокусировка при движении не идеальна.","В целом это лучший вариант на мой взгляд в данном ценовом сегменте. Покупал для жены. Уделил много времени сравнениями и обзорам перед покупкой.В комплектации с 6 гигами оперативы и 128 памяти, это один из самых доступных вариантов и отлично выглядит при этом.",Отличный
В целом хороший телефон. Просто мне не повезло.,Фронталка мутно фоткала. Сравнила с выставочными образцами в магазинах - там все ок. Оказался заводской брак.,"Заметила косяк фронтальной камеры. В отличие от аналогичных телефонов на витрине магазина разница в фото была очевидна. Пришлось сдать в сервис, ждать, когда они дадут заключение, оформила возврат, жду, когда со мной свяжутся. Все это очень долго, муторно и неприятно ☹️ Деньги отдала, а по факту уже больше 2 недель без телефона. И неизвестно, сколько ещё продлится процедура возврата. Надеюсь, что решат мой вопрос в кратчайшие сроки. В целом претензий к модели телефона и к Яндекс.Маркету не имею, по крайней мере пока, но желание покупать дорогостоящие сложные технические устройства на маркетплэйсе улетучилось...",Обычный
"Очень шустрый, с хорошим железом и камерами. Практически такой же как и нот 8 про.",,Однозначно рекомендую брать,Отличный
Долго держит батарею.Камера.Возможность вставить 2 симкарты и карту памяти,"Плохо снимает видео.Нужно привыкать к Амолед экрану.Нелогичное и частями сложное меню.Походу с клонами контактов Сяоми так и не решил проблему, а уже 4 года прошло.","С 2014 по 2017 пользовался только Сяоми, так как новая крутая марка рвала рынок.В 2017 ушел на линейки Хонор и Хуавей и вот спустя 4 года вернулся. Поэтому сравнение у меня будет между китайцами гигантами.По плюсам все понятно, поэтому быстро пробегусь по минусам.На Хонорах - Хуавеях не было ни разу повторяющихся контактов, а в Редми прогрузился и пошло поехало! То их несколько, а то человека находит только по номеру телефона и никак не найти по фамилии. Такое было и на моделях 14-17 годов, так и не исправили косяк.Видяшки с Амолед экраном можно смотреть только Full HD в остальном случае картинка какая-то нереальная, лица бледные, цвета не естественные (не четкие). Тут конечно может сыграть что я в первые держу телефон с Амолед экраном, но IPS Хонора мне нравиться больше.Загрузка видео в Вотсап и в другие мессенджеры проходит с бульканьем (со звуком). ЗАЧЕМ ЭТО НУЖНО??? Приходиться лезть отключать в каждом приложении звук булькающий по отдельности.При съемке видео теряет фокусировку. Поэтому видяшки получаются так себе. Снимаешь себе спокойно природу и тут на тебе потерялась фокусировка и пошел размытый экран.Честно сказать, не стоит он своих денег. Я бы дал этому аппарату14-15 к. не более.Ну и на последок датчик приближения тупой, но это знают все =)",Хороший
"Ёмкий аккумулятор,хорошее качество картинки и цветопередачи,хороший проц,тормозов и лагов не обнаружено даже при полной загруженности.В пользовании уже 4 месяца","Не найдены,либо незначительные","Брал на замену самсунгу а32,разница существенная,Самсунг начал тормозить спустя 1.5 мес,отпечаток читался медленно и не всегда,тут читается моментально,цветопередача одинаковая.Единственное плюс Самсунга был в камере,там качество ночных съёмок был намного лучше.",Отличный
"128 Гб, производительность, отпечаток пальца","Камера, нет индикатора сообщений, always on display активен только 10 секунд",,Хороший
"Экран, NFC, нет тормозов, быстрая зарядка, аккумулятор.",Камера!!!,"Всем хорош, кроме камеры! Видео снимает хорошо, но фото убоги. В данном аппарате применён программный downgrade на камеру, снимает плохо из-за софта! Править софт не будут в угоду продаж более старших моделей с такой же аппаратной начинкой.",Хороший
ЦенаХорошо держит заряд при умеренном использовании,Лагает,"Купил взамен Леново Вайб Шот. Через две недели использования очень разочаровался покупкой. Некорректно работает датчик отключения экрана при разговоре - открываются уведомления и кнопки верхней панели управления, делает снимки экрана, может во время разговора включить режим полета. Виснет при использовании блютуз. Камера посредственная, фотки плоские.Не советую в покупке",Обычный
Всё понравилось! Шустрый телефон с большим запасом памяти. Лет 5 актуально будет,Нет,"Отдал жене, хочу себе такой же.... Хнык....",Отличный
